con,var,sub,value
nh,hz,1,2.402979928
nh,hz,2,2.401418069
nh,hz,3,2.403484554
nh,hz,4,2.401114681
nh,hz,5,2.397295875
nh,hz,6,2.399817593
nh,hz,7,2.404103069
nh,hz,8,2.402316647
nh,hz,9,2.40303759
nh,hz,10,2.394994098
nh,hz,11,2.401180162
nh,hz,12,2.413365722
nh,hz,13,2.407598846
nh,hz,14,2.414658035
dg,hz,1,2.394306609
dg,hz,2,2.40336956
dg,hz,3,2.399599104
dg,hz,4,2.405919348
dg,hz,5,2.402060579
dg,hz,6,2.400532961
dg,hz,7,2.410456791
dg,hz,8,2.409277481
dg,hz,9,2.401976803
dg,hz,10,2.399558137
dg,hz,11,2.406542315
dg,hz,12,2.413657476
dg,hz,13,2.388711032
dg,hz,14,2.4248934
ln,hz,1,2.399952573
ln,hz,2,2.403048158
ln,hz,3,2.405822537
ln,hz,4,2.406660697
ln,hz,5,2.405845207
ln,hz,6,2.410544248
ln,hz,7,2.404480962
ln,hz,8,2.407717116
ln,hz,9,2.423665643
ln,hz,10,2.408019543
ln,hz,11,2.400710912
ln,hz,12,2.405503436
ln,hz,13,2.408780007
ln,hz,14,2.413922008
pg,hz,1,2.39536021
pg,hz,2,2.409563443
pg,hz,3,2.407715159
pg,hz,4,2.397234005
pg,hz,5,2.40122415
pg,hz,6,2.404519109
pg,hz,7,2.403945635
pg,hz,8,2.403151772
pg,hz,9,2.400614837
pg,hz,10,2.405826562
pg,hz,11,2.396874414
pg,hz,12,2.420264917
pg,hz,13,2.416477624
pg,hz,14,2.414780792
nh,hop_height,1,0.03467553
nh,hop_height,2,0.013194395
nh,hop_height,3,0.038804965
nh,hop_height,4,0.035691295
nh,hop_height,5,0.029790644
nh,hop_height,6,0.024701714
nh,hop_height,7,0.019125805
nh,hop_height,8,0.043283937
nh,hop_height,9,0.030413923
nh,hop_height,10,0.017244245
nh,hop_height,11,0.024042207
nh,hop_height,12,0.048528202
nh,hop_height,13,0.035969822
nh,hop_height,14,0.035830963
dg,hop_height,1,0.053982356
dg,hop_height,2,0.031362602
dg,hop_height,3,0.037061163
dg,hop_height,4,0.040484152
dg,hop_height,5,0.019978294
dg,hop_height,6,0.03340662
dg,hop_height,7,0.014881797
dg,hop_height,8,0.043755442
dg,hop_height,9,0.040879403
dg,hop_height,10,0.025650141
dg,hop_height,11,0.024727004
dg,hop_height,12,0.048352251
dg,hop_height,13,0.02210597
dg,hop_height,14,0.042125152
ln,hop_height,1,0.029390888
ln,hop_height,2,0.01478452
ln,hop_height,3,0.021149745
ln,hop_height,4,0.030092036
ln,hop_height,5,0.022281208
ln,hop_height,6,0.037415569
ln,hop_height,7,0.017762833
ln,hop_height,8,0.045771526
ln,hop_height,9,0.022127739
ln,hop_height,10,0.021685537
ln,hop_height,11,0.021419409
ln,hop_height,12,0.048368067
ln,hop_height,13,0.038046063
ln,hop_height,14,0.038806755
pg,hop_height,1,0.021762204
pg,hop_height,2,0.018669293
pg,hop_height,3,0.021928343
pg,hop_height,4,0.034874953
pg,hop_height,5,0.020719558
pg,hop_height,6,0.031555022
pg,hop_height,7,0.019068021
pg,hop_height,8,0.037495503
pg,hop_height,9,0.026584657
pg,hop_height,10,0.018496012
pg,hop_height,11,0.014204265
pg,hop_height,12,0.045837353
pg,hop_height,13,0.036662894
pg,hop_height,14,0.037845221
nh,tc,1,0.251764723
nh,tc,2,0.298823575
nh,tc,3,0.247878779
nh,tc,4,0.2464242
nh,tc,5,0.260941218
nh,tc,6,0.257500038
nh,tc,7,0.306058883
nh,tc,8,0.224352901
nh,tc,9,0.238823566
nh,tc,10,0.287882367
nh,tc,11,0.27055881
nh,tc,12,0.231764613
nh,tc,13,0.238941142
nh,tc,14,0.228999902
dg,tc,1,0.212090985
dg,tc,2,0.262353033
dg,tc,3,0.225151503
dg,tc,4,0.23647059
dg,tc,5,0.29447054
dg,tc,6,0.254705896
dg,tc,7,0.301588243
dg,tc,8,0.227705996
dg,tc,9,0.223176451
dg,tc,10,0.276058861
dg,tc,11,0.269970662
dg,tc,12,0.229264716
dg,tc,13,0.278529446
dg,tc,14,0.209676481
ln,tc,1,0.255323507
ln,tc,2,0.297411723
ln,tc,3,0.26799998
ln,tc,4,0.254852917
ln,tc,5,0.277941236
ln,tc,6,0.237735314
ln,tc,7,0.304088209
ln,tc,8,0.216911684
ln,tc,9,0.252764749
ln,tc,10,0.275558888
ln,tc,11,0.267441229
ln,tc,12,0.2319117
ln,tc,13,0.241764784
ln,tc,14,0.216558802
pg,tc,1,0.271617659
pg,tc,2,0.301794143
pg,tc,3,0.270058681
pg,tc,4,0.244676487
pg,tc,5,0.271941078
pg,tc,6,0.250647068
pg,tc,7,0.296882372
pg,tc,8,0.228411678
pg,tc,9,0.235882363
pg,tc,10,0.293558797
pg,tc,11,0.300147074
pg,tc,12,0.23623534
pg,tc,13,0.226588349
pg,tc,14,0.221235342
nh,fz,1,2039.674425
nh,fz,2,2235.478583
nh,fz,3,2198.362901
nh,fz,4,2207.425042
nh,fz,5,2348.91843
nh,fz,6,2116.629639
nh,fz,7,1858.44261
nh,fz,8,2409.183072
nh,fz,9,2521.448317
nh,fz,10,2083.414758
nh,fz,11,1855.335731
nh,fz,12,2896.718764
nh,fz,13,2147.834357
nh,fz,14,2626.637309
dg,fz,1,2475.038052
dg,fz,2,2462.730632
dg,fz,3,2590.033064
dg,fz,4,2228.673394
dg,fz,5,1883.520894
dg,fz,6,1956.126831
dg,fz,7,2158.516268
dg,fz,8,2237.583392
dg,fz,9,2627.685174
dg,fz,10,1909.743262
dg,fz,11,1751.07389
dg,fz,12,2829.562418
dg,fz,13,1639.019774
dg,fz,14,2716.203783
ln,fz,1,2106.977498
ln,fz,2,2405.437534
ln,fz,3,2290.051202
ln,fz,4,2304.358134
ln,fz,5,2345.475762
ln,fz,6,2385.327847
ln,fz,7,2245.726617
ln,fz,8,2689.261798
ln,fz,9,2279.475955
ln,fz,10,2217.518667
ln,fz,11,1988.564511
ln,fz,12,3086.346856
ln,fz,13,2281.038439
ln,fz,14,2790.451158
pg,fz,1,2132.106984
pg,fz,2,2501.299072
pg,fz,3,2362.935757
pg,fz,4,2487.690274
pg,fz,5,2635.936245
pg,fz,6,2418.35966
pg,fz,7,2433.826084
pg,fz,8,2721.985819
pg,fz,9,2856.80662
pg,fz,10,2366.955688
pg,fz,11,1888.994432
pg,fz,12,3063.75198
pg,fz,13,2531.889065
pg,fz,14,2933.140503
