con,joint,cont,sub,value
nh,ank,net,1,0.511402057374225
nh,ank,net,2,0.534316651523113
nh,ank,net,3,0.527918667052731
nh,ank,net,4,0.498043948502252
nh,ank,net,5,0.588100440361921
nh,ank,net,6,0.442717562703525
nh,ank,net,7,0.626387902918984
nh,ank,net,8,0.529245207853177
nh,ank,net,9,0.589364164892365
nh,ank,net,10,0.491246613947784
nh,ank,net,11,0.51421824404422
nh,ank,net,12,0.497629325617762
nh,ank,net,13,0.520782507956028
nh,ank,net,14,0.496304491425262
nh,kne,net,1,0.452985705259968
nh,kne,net,2,0.372904939248281
nh,kne,net,3,0.258326412601904
nh,kne,net,4,0.275321395559744
nh,kne,net,5,0.367465079926393
nh,kne,net,6,0.494456911349998
nh,kne,net,7,0.284620242960313
nh,kne,net,8,0.284316478406682
nh,kne,net,9,0.351058116730522
nh,kne,net,10,0.306719970615471
nh,kne,net,11,0.290318834650166
nh,kne,net,12,0.280598822981119
nh,kne,net,13,0.33357682276298
nh,kne,net,14,0.19944250737043
nh,hip,net,1,-0.0329230579972158
nh,hip,net,2,-0.0791597838433518
nh,hip,net,3,0.0618020720360095
nh,hip,net,4,0.0296469663488538
nh,hip,net,5,0.0166386338190504
nh,hip,net,6,-0.171147300040021
nh,hip,net,7,-0.00665880730882825
nh,hip,net,8,-0.0716712527004454
nh,hip,net,9,-0.109732831280459
nh,hip,net,10,-0.114732612910516
nh,hip,net,11,-0.0573288412171464
nh,hip,net,12,-0.0878601534675588
nh,hip,net,13,-0.0179477802720452
nh,hip,net,14,-0.0488949912353693
nh,ank,exo,1,NaN
nh,ank,exo,2,NaN
nh,ank,exo,3,NaN
nh,ank,exo,4,NaN
nh,ank,exo,5,NaN
nh,ank,exo,6,NaN
nh,ank,exo,7,NaN
nh,ank,exo,8,NaN
nh,ank,exo,9,NaN
nh,ank,exo,10,NaN
nh,ank,exo,11,NaN
nh,ank,exo,12,NaN
nh,ank,exo,13,NaN
nh,ank,exo,14,NaN
nh,kne,exo,1,NaN
nh,kne,exo,2,NaN
nh,kne,exo,3,NaN
nh,kne,exo,4,NaN
nh,kne,exo,5,NaN
nh,kne,exo,6,NaN
nh,kne,exo,7,NaN
nh,kne,exo,8,NaN
nh,kne,exo,9,NaN
nh,kne,exo,10,NaN
nh,kne,exo,11,NaN
nh,kne,exo,12,NaN
nh,kne,exo,13,NaN
nh,kne,exo,14,NaN
nh,hip,exo,1,NaN
nh,hip,exo,2,NaN
nh,hip,exo,3,NaN
nh,hip,exo,4,NaN
nh,hip,exo,5,NaN
nh,hip,exo,6,NaN
nh,hip,exo,7,NaN
nh,hip,exo,8,NaN
nh,hip,exo,9,NaN
nh,hip,exo,10,NaN
nh,hip,exo,11,NaN
nh,hip,exo,12,NaN
nh,hip,exo,13,NaN
nh,hip,exo,14,NaN
nh,ank,bio,1,0.511402057374225
nh,ank,bio,2,0.534316651523113
nh,ank,bio,3,0.527918667052731
nh,ank,bio,4,0.498043948502252
nh,ank,bio,5,0.588100440361921
nh,ank,bio,6,0.442717562703525
nh,ank,bio,7,0.626387902918984
nh,ank,bio,8,0.529245207853177
nh,ank,bio,9,0.589364164892365
nh,ank,bio,10,0.491246613947784
nh,ank,bio,11,0.51421824404422
nh,ank,bio,12,0.497629325617762
nh,ank,bio,13,0.520782507956028
nh,ank,bio,14,0.496304491425262
nh,kne,bio,1,0.452985705259968
nh,kne,bio,2,0.372904939248281
nh,kne,bio,3,0.258326412601904
nh,kne,bio,4,0.275321395559744
nh,kne,bio,5,0.367465079926393
nh,kne,bio,6,0.494456911349998
nh,kne,bio,7,0.284620242960313
nh,kne,bio,8,0.284316478406682
nh,kne,bio,9,0.351058116730522
nh,kne,bio,10,0.306719970615471
nh,kne,bio,11,0.290318834650166
nh,kne,bio,12,0.280598822981119
nh,kne,bio,13,0.33357682276298
nh,kne,bio,14,0.19944250737043
nh,hip,bio,1,-0.0329230579972158
nh,hip,bio,2,-0.0791597838433518
nh,hip,bio,3,0.0618020720360095
nh,hip,bio,4,0.0296469663488538
nh,hip,bio,5,0.0166386338190504
nh,hip,bio,6,-0.171147300040021
nh,hip,bio,7,-0.00665880730882825
nh,hip,bio,8,-0.0716712527004454
nh,hip,bio,9,-0.109732831280459
nh,hip,bio,10,-0.114732612910516
nh,hip,bio,11,-0.0573288412171464
nh,hip,bio,12,-0.0878601534675588
nh,hip,bio,13,-0.0179477802720452
nh,hip,bio,14,-0.0488949912353693
dg,ank,net,1,0.489307999610901
dg,ank,net,2,0.559366769212134
dg,ank,net,3,0.571567278919798
dg,ank,net,4,0.477634635918281
dg,ank,net,5,0.579737550195526
dg,ank,net,6,0.477253611473476
dg,ank,net,7,0.639649264076177
dg,ank,net,8,0.521579030243789
dg,ank,net,9,0.557365691398873
dg,ank,net,10,0.486920415478594
dg,ank,net,11,0.547742706449593
dg,ank,net,12,0.480126905967208
dg,ank,net,13,0.499720036106951
dg,ank,net,14,0.490067925961579
dg,kne,net,1,0.424093185500665
dg,kne,net,2,0.202281562940163
dg,kne,net,3,0.279367585073818
dg,kne,net,4,0.22332447504296
dg,kne,net,5,0.319357963607592
dg,kne,net,6,0.504001501728507
dg,kne,net,7,0.260049814248786
dg,kne,net,8,0.168602761319455
dg,kne,net,9,0.31776935103185
dg,kne,net,10,0.258959315936355
dg,kne,net,11,0.236616281135117
dg,kne,net,12,0.296552057213643
dg,kne,net,13,0.203473984866458
dg,kne,net,14,0.182455902919173
dg,hip,net,1,-0.00035668195271159
dg,hip,net,2,-0.14614191125421
dg,hip,net,3,-0.145749069863197
dg,hip,net,4,-0.0216823789729353
dg,hip,net,5,-0.0421405217134366
dg,hip,net,6,-0.0431261827222496
dg,hip,net,7,-0.0122890494873419
dg,hip,net,8,-0.158207586911671
dg,hip,net,9,-0.194455586154671
dg,hip,net,10,-0.0267946584550801
dg,hip,net,11,-0.0736545861616512
dg,hip,net,12,-0.124128298560048
dg,hip,net,13,-0.0662592006205266
dg,hip,net,14,-0.126156368895489
dg,ank,exo,1,0.150545279636528
dg,ank,exo,2,0.285156193024972
dg,ank,exo,3,0.151999207721515
dg,ank,exo,4,0.181405792341513
dg,ank,exo,5,0.246817452723489
dg,ank,exo,6,0.210279838127248
dg,ank,exo,7,0.118000703042044
dg,ank,exo,8,0.227206019575105
dg,ank,exo,9,0.160930739167859
dg,ank,exo,10,0.19924261552446
dg,ank,exo,11,0.22834510597236
dg,ank,exo,12,0.138961347696536
dg,ank,exo,13,0.299113512039185
dg,ank,exo,14,0.0697864820523297
dg,kne,exo,1,0.0792090744909012
dg,kne,exo,2,0.019994021855596
dg,kne,exo,3,0.0446603462438692
dg,kne,exo,4,0.0207673339198878
dg,kne,exo,5,0.085849741638145
dg,kne,exo,6,0.178186303990729
dg,kne,exo,7,0.0245923878871562
dg,kne,exo,8,-0.0413287864614497
dg,kne,exo,9,0.0459834177266149
dg,kne,exo,10,0.0460117788658381
dg,kne,exo,11,0.0448075969813063
dg,kne,exo,12,0.0233064288331661
dg,kne,exo,13,0.0123861077736365
dg,kne,exo,14,-0.0126679865078425
dg,hip,exo,1,-0.012617606366279
dg,hip,exo,2,-0.127467265243039
dg,hip,exo,3,-0.0739970422265205
dg,hip,exo,4,-0.063337086699903
dg,hip,exo,5,-0.104517061920727
dg,hip,exo,6,-0.0677541187033057
dg,hip,exo,7,-0.0642074322437539
dg,hip,exo,8,-0.104662631693132
dg,hip,exo,9,-0.0925965737551451
dg,hip,exo,10,-0.0522880549268687
dg,hip,exo,11,-0.105827252435334
dg,hip,exo,12,-0.0692536661072689
dg,hip,exo,13,-0.124808398623239
dg,hip,exo,14,-0.0371260069694151
dg,ank,bio,1,0.338762718168172
dg,ank,bio,2,0.274210576406297
dg,ank,bio,3,0.419568075375123
dg,ank,bio,4,0.29622884182369
dg,ank,bio,5,0.332920096157228
dg,ank,bio,6,0.266973775537575
dg,ank,bio,7,0.521648559938459
dg,ank,bio,8,0.294373008915607
dg,ank,bio,9,0.396434955298901
dg,ank,bio,10,0.287677804336828
dg,ank,bio,11,0.319397599162424
dg,ank,bio,12,0.341165561009856
dg,ank,bio,13,0.200606522807742
dg,ank,bio,14,0.420281447031919
dg,kne,bio,1,0.3448841088649
dg,kne,bio,2,0.182287540067645
dg,kne,bio,3,0.234707238773505
dg,kne,bio,4,0.202557141509126
dg,kne,bio,5,0.233508222681635
dg,kne,bio,6,0.325815198395182
dg,kne,bio,7,0.23545742495095
dg,kne,bio,8,0.209931546493488
dg,kne,bio,9,0.271785933086101
dg,kne,bio,10,0.21294753625989
dg,kne,bio,11,0.191808681935072
dg,kne,bio,12,0.273245626293561
dg,kne,bio,13,0.191087877925705
dg,kne,bio,14,0.195123889209593
dg,hip,bio,1,0.0122609247700893
dg,hip,bio,2,-0.0186746459666585
dg,hip,bio,3,-0.071752027664898
dg,hip,bio,4,0.0416547067442854
dg,hip,bio,5,0.0623765412374804
dg,hip,bio,6,0.0246279356360901
dg,hip,bio,7,0.0519183824799256
dg,hip,bio,8,-0.0535449563110032
dg,hip,bio,9,-0.10185901238583
dg,hip,bio,10,0.0254933965137324
dg,hip,bio,11,0.0321726657953417
dg,hip,bio,12,-0.0548746321805725
dg,hip,bio,13,0.0585491979556323
dg,hip,bio,14,-0.0890303610495346
ln,ank,net,1,0.507959097623825
ln,ank,net,2,0.542355130700504
ln,ank,net,3,0.53880052312332
ln,ank,net,4,0.519164774347754
ln,ank,net,5,0.606746562263545
ln,ank,net,6,0.508375693770016
ln,ank,net,7,0.621356150683235
ln,ank,net,8,0.54098456440603
ln,ank,net,9,0.584504915072637
ln,ank,net,10,0.502832595478086
ln,ank,net,11,0.552422964835868
ln,ank,net,12,0.488250017604407
ln,ank,net,13,0.513504209325594
ln,ank,net,14,0.507881560746361
ln,kne,net,1,0.424798370941597
ln,kne,net,2,0.41485561605762
ln,kne,net,3,0.39521216907922
ln,kne,net,4,0.25489445249824
ln,kne,net,5,0.261529066764257
ln,kne,net,6,0.389337302569081
ln,kne,net,7,0.234159798087443
ln,kne,net,8,0.256984488271615
ln,kne,net,9,0.357863764333374
ln,kne,net,10,0.27939112988465
ln,kne,net,11,0.203263288911651
ln,kne,net,12,0.277498231652905
ln,kne,net,13,0.166576011654209
ln,kne,net,14,0.182657163151923
ln,hip,net,1,-0.105099174248822
ln,hip,net,2,-0.198602054815959
ln,hip,net,3,-0.0145437716821428
ln,hip,net,4,-0.0372702953960363
ln,hip,net,5,-0.0875605982719743
ln,hip,net,6,-0.0927431368344354
ln,hip,net,7,0.00794138289262157
ln,hip,net,8,-0.199961218982935
ln,hip,net,9,-0.189184504287208
ln,hip,net,10,0.0175092891492087
ln,hip,net,11,-0.0607988956817748
ln,hip,net,12,-0.162829935441122
ln,hip,net,13,-0.0266807668102796
ln,hip,net,14,-0.131205762859763
ln,ank,exo,1,0.147029243519201
ln,ank,exo,2,0.164161721354022
ln,ank,exo,3,0.130334610009895
ln,ank,exo,4,0.156167187125367
ln,ank,exo,5,0.185625787824392
ln,ank,exo,6,0.155601671732524
ln,ank,exo,7,0.131588821135023
ln,ank,exo,8,0.143402934512671
ln,ank,exo,9,0.107558888547561
ln,ank,exo,10,0.158275578828419
ln,ank,exo,11,0.17968549951911
ln,ank,exo,12,0.090249415487051
ln,ank,exo,13,0.152690571239766
ln,ank,exo,14,0.1077262704425
ln,kne,exo,1,0.0702231217668775
ln,kne,exo,2,0.0994492841555792
ln,kne,exo,3,0.116349440889762
ln,kne,exo,4,0.0319283881878672
ln,kne,exo,5,0.0529893718057257
ln,kne,exo,6,0.0692252039897379
ln,kne,exo,7,0.0362377103472896
ln,kne,exo,8,-0.00788814528427525
ln,kne,exo,9,0.061583607320619
ln,kne,exo,10,0.0751288253129186
ln,kne,exo,11,0.0130088342540309
ln,kne,exo,12,0.0178280108820592
ln,kne,exo,13,-0.0260324827181381
ln,kne,exo,14,-0.0166576400718922
ln,hip,exo,1,-0.0419060236719601
ln,hip,exo,2,-0.0739104680388289
ln,hip,exo,3,-0.03715200200403
ln,hip,exo,4,-0.0615257403868086
ln,hip,exo,5,-0.0804390358355115
ln,hip,exo,6,-0.0637468537863563
ln,hip,exo,7,-0.0828991565195953
ln,hip,exo,8,-0.0843278022811693
ln,hip,exo,9,-0.073468543096062
ln,hip,exo,10,-0.0394726913860616
ln,hip,exo,11,-0.0855627042405745
ln,hip,exo,12,-0.0589937676182565
ln,hip,exo,13,-0.0446820923894206
ln,hip,exo,14,-0.0647115217631354
ln,ank,bio,1,0.360929854214191
ln,ank,bio,2,0.378193406497731
ln,ank,bio,3,0.408465913113426
ln,ank,bio,4,0.362997587989358
ln,ank,bio,5,0.421120768960784
ln,ank,bio,6,0.352774023571435
ln,ank,bio,7,0.489767330096048
ln,ank,bio,8,0.397581627263742
ln,ank,bio,9,0.476946020389304
ln,ank,bio,10,0.344557015553993
ln,ank,bio,11,0.372737465097624
ln,ank,bio,12,0.398000602336491
ln,ank,bio,13,0.360813639619771
ln,ank,bio,14,0.400155287893379
ln,kne,bio,1,0.354575251612593
ln,kne,bio,2,0.315406331244637
ln,kne,bio,3,0.278862726819866
ln,kne,bio,4,0.222966065739884
ln,kne,bio,5,0.208539695643327
ln,kne,bio,6,0.320112097570125
ln,kne,bio,7,0.197922088972786
ln,kne,bio,8,0.264872632482473
ln,kne,bio,9,0.296280158354956
ln,kne,bio,10,0.204262305160656
ln,kne,bio,11,0.190254454774892
ln,kne,bio,12,0.259670220096322
ln,kne,bio,13,0.192608494968975
ln,kne,bio,14,0.199314804309431
ln,hip,bio,1,-0.063193150491262
ln,hip,bio,2,-0.124691588146722
ln,hip,bio,3,0.0226082299349775
ln,hip,bio,4,0.024255445220179
ln,hip,bio,5,-0.00712156127487748
ln,hip,bio,6,-0.02899628322955
ln,hip,bio,7,0.0908405396758633
ln,hip,bio,8,-0.115633416701766
ln,hip,bio,9,-0.115715961485608
ln,hip,bio,10,0.056981980571222
ln,hip,bio,11,0.0247638087449184
ln,hip,bio,12,-0.103836167275029
ln,hip,bio,13,0.0180013246991781
ln,hip,bio,14,-0.0664942409853478
pg,ank,net,1,0.51207590409938
pg,ank,net,2,0.539344505352132
pg,ank,net,3,0.545528556055882
pg,ank,net,4,0.527211716946434
pg,ank,net,5,0.604689775582622
pg,ank,net,6,0.515275489319773
pg,ank,net,7,0.649943071253159
pg,ank,net,8,0.548949494957924
pg,ank,net,9,0.592267744681414
pg,ank,net,10,0.504877101410838
pg,ank,net,11,0.545206522678628
pg,ank,net,12,0.507582657915704
pg,ank,net,13,0.565432909656973
pg,ank,net,14,0.510236696723629
pg,kne,net,1,0.515885884270949
pg,kne,net,2,0.449883698978845
pg,kne,net,3,0.344614493277143
pg,kne,net,4,0.250102921443827
pg,kne,net,5,0.386478245258331
pg,kne,net,6,0.481978795545943
pg,kne,net,7,0.242714800817125
pg,kne,net,8,0.319326764739612
pg,kne,net,9,0.416121562175891
pg,kne,net,10,0.297056841061396
pg,kne,net,11,0.288319382816553
pg,kne,net,12,0.269017825670102
pg,kne,net,13,0.257570672780275
pg,kne,net,14,0.177662074785022
pg,hip,net,1,-0.0580644449629985
pg,hip,net,2,-0.195325530955897
pg,hip,net,3,0.0156135341065184
pg,hip,net,4,-0.0273376810355865
pg,hip,net,5,-0.157677187194863
pg,hip,net,6,-0.143574881600216
pg,hip,net,7,-0.0487851671025376
pg,hip,net,8,-0.239359967848834
pg,hip,net,9,-0.212612553335288
pg,hip,net,10,-0.0844893756401528
pg,hip,net,11,-0.0977527524399407
pg,hip,net,12,-0.187471475561752
pg,hip,net,13,-0.102188239514362
pg,hip,net,14,-0.149896326529629
pg,ank,exo,1,0.075615204322864
pg,ank,exo,2,0.0806976430227651
pg,ank,exo,3,0.0625514698707882
pg,ank,exo,4,0.0940204509260023
pg,ank,exo,5,0.0800397098064423
pg,ank,exo,6,0.0759987195625025
pg,ank,exo,7,0.0669673643458416
pg,ank,exo,8,0.0713495035820148
pg,ank,exo,9,0.0520067630226121
pg,ank,exo,10,0.0688840381472426
pg,ank,exo,11,0.0924464606625192
pg,ank,exo,12,0.0596913469078786
pg,ank,exo,13,0.0670096895054859
pg,ank,exo,14,0.0523330870577518
pg,kne,exo,1,0.0739468432524625
pg,kne,exo,2,0.0542613591122277
pg,kne,exo,3,0.0447076032732559
pg,kne,exo,4,0.0158061232898891
pg,kne,exo,5,0.038303063963266
pg,kne,exo,6,0.0652131272808594
pg,kne,exo,7,0.0130847340401755
pg,kne,exo,8,-0.000238967230817413
pg,kne,exo,9,0.0303110974457334
pg,kne,exo,10,0.0259025740848729
pg,kne,exo,11,0.0277049903251121
pg,kne,exo,12,-0.00321125985411687
pg,kne,exo,13,0.000602651592891882
pg,kne,exo,14,-0.00993603885608001
pg,hip,exo,1,-0.00389695452416644
pg,hip,exo,2,-0.0387789803447531
pg,hip,exo,3,-0.0135250398844244
pg,hip,exo,4,-0.0363309065920903
pg,hip,exo,5,-0.0514423785292927
pg,hip,exo,6,-0.0386633399107
pg,hip,exo,7,-0.0444931413649636
pg,hip,exo,8,-0.0472923705135198
pg,hip,exo,9,-0.0388555508106947
pg,hip,exo,10,-0.0280305245507728
pg,hip,exo,11,-0.0516360865577179
pg,hip,exo,12,-0.0434865274959627
pg,hip,exo,13,-0.0292049613096477
pg,hip,exo,14,-0.032796713824877
pg,ank,bio,1,0.436460694845985
pg,ank,bio,2,0.458646857563187
pg,ank,bio,3,0.482977087883388
pg,ank,bio,4,0.433191266129999
pg,ank,bio,5,0.524650063584833
pg,ank,bio,6,0.43927677019554
pg,ank,bio,7,0.58297570619513
pg,ank,bio,8,0.477599988088888
pg,ank,bio,9,0.540260981987504
pg,ank,bio,10,0.435993060907897
pg,ank,bio,11,0.452760063550051
pg,ank,bio,12,0.447891309419099
pg,ank,bio,13,0.498423221356729
pg,ank,bio,14,0.457903608679771
pg,kne,bio,1,0.441939047154258
pg,kne,bio,2,0.395622338442241
pg,kne,bio,3,0.299906888867126
pg,kne,bio,4,0.234296797610381
pg,kne,bio,5,0.348175182281172
pg,kne,bio,6,0.416765667059842
pg,kne,bio,7,0.229630066629718
pg,kne,bio,8,0.319565733785138
pg,kne,bio,9,0.385810463744051
pg,kne,bio,10,0.271154267165591
pg,kne,bio,11,0.260614390758907
pg,kne,bio,12,0.27222908638856
pg,kne,bio,13,0.256968021611957
pg,kne,bio,14,0.187598113627995
pg,hip,bio,1,-0.0541674905483994
pg,hip,bio,2,-0.156546550090699
pg,hip,bio,3,0.0291385738983081
pg,hip,bio,4,0.0089932252682475
pg,hip,bio,5,-0.106234808019294
pg,hip,bio,6,-0.10491154160734
pg,hip,bio,7,-0.00429202504036606
pg,hip,bio,8,-0.192067596623126
pg,hip,bio,9,-0.173757001867189
pg,hip,bio,10,-0.0564588508568704
pg,hip,bio,11,-0.0461166654948851
pg,hip,bio,12,-0.143984948339708
pg,hip,bio,13,-0.0729832780472112
pg,hip,bio,14,-0.117099613307373
